Genus_species,CAAB,Region,Family,Min.depth,Max Depth,Common name,Primary Ecosystem
Brachypterois serrulifer,37287101,North Coast,Pteroidae,27,64,Sawcheek Scorpionfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Brachysomophis cirrocheilos,37068011,North Coast,Ophichthidae,1,38,Stargazer Snake Eel,Coastal (0-40m)
Brama australis,37342010,Gascoyne Coast,Bramidae,0,500,Southern Ray's Bream,"Pelagic, Epipelagic (0-200m, Oceanic)"
Brama australis,37342010,South Coast,Bramidae,0,500,Southern Ray's Bream,"Pelagic, Epipelagic (0-200m, Oceanic)"
Brama australis,37342010,West Coast,Bramidae,0,500,Southern Ray's Bream,"Pelagic, Epipelagic (0-200m, Oceanic)"
Brama brama,37342001,South Coast,Bramidae,0,400,Ray's Bream,"Pelagic, Epipelagic (0-200m, Oceanic)"
Brama dussumieri,37342011,Gascoyne Coast,Bramidae,0,200,Lesser Bream,"Pelagic, Epipelagic (0-200m, Oceanic)"
Brama dussumieri,37342011,North Coast,Bramidae,0,200,Lesser Bream,"Pelagic, Epipelagic (0-200m, Oceanic)"
Brama orcini,37342004,Gascoyne Coast,Bramidae,0,100,Bigbelly Pomfret,"Pelagic, Epipelagic (0-200m, Oceanic)"
Brama orcini,37342004,North Coast,Bramidae,0,100,Bigbelly Pomfret,"Pelagic, Epipelagic (0-200m, Oceanic)"
Brama pauciradiata,37342009,Gascoyne Coast,Bramidae,80,550,Shortfin Pomfret,"Pelagic, Epipelagic (0-200m, Oceanic)"
Brama pauciradiata,37342009,North Coast,Bramidae,80,550,Shortfin Pomfret,"Pelagic, Epipelagic (0-200m, Oceanic)"
Branchiostegus sawakinensis,37331001,North Coast,Malacanthidae,30,200,Freckled Tilefish,Shelf Demersal (40-200m)
Bregmaceros atlanticus,37225003,Gascoyne Coast,Bregmacerotidae,30,200,Antenna Codlet,Shelf Demersal (40-200m)
